image_name,instruct,target_description,image_address,result_image_name,Type
26pigeons-qUGMxlGpirg-unsplash.jpg,Add sunset to the bottom,Photo of the sunset,https://unsplash.com/photos/white-and-green-boat-on-beach-during-daytime-qUGMxlGpirg,26pigeons-qUGMxlGpirg-unsplash_Add_sunset_to_the_bottom.jpg,Absolute Direction
26pigeons-qUGMxlGpirg-unsplash.jpg,Add sunset to the top,Photo of the sunset,https://unsplash.com/photos/white-and-green-boat-on-beach-during-daytime-qUGMxlGpirg,26pigeons-qUGMxlGpirg-unsplash_Add_sunset_to_the_top.jpg,Absolute Direction
3567115306_5b8b1c3eff_w.jpg,change the cat on the left to a tiger,Photo of the a tiger,https://www.flickr.com/photos/dcoetzee/3567115306/in/photostream/,3567115306_5b8b1c3eff_w_change_the_cat_on_the_left_to_a_tiger.jpg,Absolute Direction
3567115306_5b8b1c3eff_w.jpg,change the cat on the right to a tiger,Photo of the a tiger,https://www.flickr.com/photos/dcoetzee/3567115306/in/photostream/,3567115306_5b8b1c3eff_w_change_the_cat_on_the_right_to_a_tiger.jpg,Absolute Direction
aleksandra-dementeva-P7daPADLwRg-unsplash.jpg,Turn the frame above the vase into a colorful portrait,Photo of a colorful portrait,https://unsplash.com/photos/a-dining-area-decorated-with-minimalist-art-P7daPADLwRg,aleksandra-dementeva-P7daPADLwRg-unsplash_Turn_the_frame_above_the_vase_into_a_colorful_portrait.jpg,Relative Direction
aleksandra-dementeva-rrikzftfC3w-unsplash.jpg,Turn the books stack on the right of the flower vase into a cake,Photo of a cake,https://unsplash.com/photos/modern-bedroom-with-artwork-and-shelving-unit-rrikzftfC3w,aleksandra-dementeva-rrikzftfC3w-unsplash_Turn_the_books_stack_on_the_right_of_the_flower_vase_into_a_cake.jpg,Relative Direction
aleksandra-dementeva-Vm07vlKDpGE-unsplash.jpg,Change the chair on the right of the table to a black leather chair,Photo of a black leather chair,https://unsplash.com/photos/modern-kitchen-with-dining-area-and-green-chairs-Vm07vlKDpGE,aleksandra-dementeva-Vm07vlKDpGE-unsplash_Change_the_chair_on_the_right_of_the_table_to_a_black_leather_chair.jpg,Neutral
aleksandra-dementeva-Vm07vlKDpGE-unsplash.jpg,Change the green vase to a white vase,Photo of a white vase,https://unsplash.com/photos/modern-kitchen-with-dining-area-and-green-chairs-Vm07vlKDpGE,aleksandra-dementeva-Vm07vlKDpGE-unsplash_Change_the_green_vase_to_a_white_vase.jpg,Relative Direction
alena-torgonskaya-S3j-e4s7oAA-unsplash.jpg,Change the pastry on the left to a donut,Photo of a donut,https://unsplash.com/photos/a-table-set-for-a-formal-dinner-with-a-bottle-of-wine-S3j-e4s7oAA,alena-torgonskaya-S3j-e4s7oAA-unsplash_Change_the_pastry_on_the_left_to_a_donut.jpg,Absolute Direction
alexander-lunyov-_62Cd1FLsXs-unsplash.jpg,Convert the pumpkin on the top into a watermelon,Photo of a watermelon,https://unsplash.com/photos/three-pumpkins-sit-on-outdoor-stone-steps-_62Cd1FLsXs,alexander-lunyov-_62Cd1FLsXs-unsplash_Convert_the_pumpkin_on_the_top_into_a_watermelon.jpg,Absolute Direction
alexander-mass-w_C2VDJeGIc-unsplash.jpg,make him red hair,Photo of a red hair,https://unsplash.com/photos/man-and-woman-kissing-on-forest-during-daytime-jTyy7Ad1F28,alexander-mass-w_C2VDJeGIc-unsplash_make_him_red_hair.jpg,Pronoun
alex-azabache-VJ8lDThoDVQ-unsplash.jpg,Add a bench to the right side of the boy,Photo of a bench,https://unsplash.com/photos/man-on-skatebiard-VJ8lDThoDVQ,alex-azabache-VJ8lDThoDVQ-unsplash_Add_a_bench_to_the_right_side_of_the_boy.jpg,Relative Direction
alex-batonisashvili-BRvTj_AqSXA-unsplash.jpg,add a helicopter above the tower,Photo of a helicopter,https://unsplash.com/photos/gothic-cathedral-spire-against-a-clear-blue-sky-BRvTj_AqSXA,alex-batonisashvili-BRvTj_AqSXA-unsplash_add_a_helicopter_above_the_tower.jpg,Relative Direction
alex-tyson-5Vjg736yHrY-unsplash.jpg,Color the stool on the left to red,Photo of a red stool,https://unsplash.com/id/foto/ruang-tamu-yang-dipenuhi-dengan-furnitur-dan-dapur-5Vjg736yHrY,alex-tyson-5Vjg736yHrY-unsplash_Color_the_stool_on_the_left_to_red.jpg,Absolute Direction
